#timestamp x y z qx qy qz qw id
1768380798.650818 -0.000359 0.014909 0.000017 -0.495265 0.506114 -0.494608 0.503909 1
1768380804.314572 0.103548 0.042921 0.034496 -0.497478 0.503907 -0.492721 0.505787 70
1768380804.648118 0.222020 0.071097 0.064824 -0.501202 0.500428 -0.491064 0.507174 75
1768380804.916468 0.329167 0.100994 0.094539 -0.504626 0.497304 -0.489903 0.507972 79
1768380805.184977 0.457462 0.136057 0.134327 -0.508564 0.494018 -0.487424 0.509634 83
1768380805.386463 0.576988 0.172559 0.165940 -0.512071 0.490120 -0.485551 0.511670 86
1768380805.588031 0.700176 0.196314 0.204110 -0.515511 0.486910 -0.481252 0.515329 89
1768380805.788180 0.836502 0.241184 0.245100 -0.519826 0.483382 -0.479616 0.515841 92
1768380805.988329 0.971469 0.297469 0.283156 -0.524779 0.478637 -0.479195 0.515642 95
1768380806.188479 1.110721 0.342856 0.321802 -0.529197 0.474332 -0.476913 0.517218 98
1768380806.388628 1.248760 0.399077 0.364309 -0.533859 0.470424 -0.474830 0.517911 101
1768380806.588778 1.388687 0.455249 0.404794 -0.538136 0.465847 -0.472277 0.519953 104
1768380806.722208 1.488727 0.487433 0.430329 -0.540799 0.462525 -0.469958 0.522251 106
1768380806.855637 1.586702 0.528479 0.461802 -0.544045 0.459470 -0.468078 0.523264 108
1768380806.989067 1.691302 0.566114 0.489522 -0.546392 0.456218 -0.465765 0.525722 110
1768380807.122497 1.802782 0.607193 0.524157 -0.549062 0.453207 -0.462808 0.528151 112
1768380807.255926 1.914369 0.659818 0.557392 -0.552355 0.449066 -0.461078 0.529765 114
1768380807.389356 2.028391 0.717969 0.588081 -0.556173 0.444402 -0.460182 0.530483 116
1768380807.522785 2.148284 0.773300 0.624199 -0.559596 0.440532 -0.457415 0.532499 118
1768380807.656214 2.267430 0.823370 0.655631 -0.562711 0.436658 -0.454203 0.535150 120
1768380807.789642 2.387430 0.879126 0.697994 -0.566059 0.433092 -0.451143 0.537102 122
1768380807.923070 2.507083 0.943308 0.731190 -0.569390 0.428804 -0.449146 0.538693 124
1768380808.056498 2.622901 1.003972 0.759174 -0.572695 0.424190 -0.447159 0.540493 126
1768380808.189925 2.744213 1.062757 0.798678 -0.576591 0.420170 -0.444171 0.541953 128
1768380808.323353 2.861424 1.129917 0.829049 -0.580144 0.416084 -0.442075 0.543024 130
1768380808.456780 2.974699 1.200756 0.863241 -0.583963 0.411200 -0.441104 0.543442 132
1768380808.523494 3.028986 1.235128 0.879127 -0.586060 0.408321 -0.441360 0.543147 133
1768380808.656923 3.137258 1.311489 0.911763 -0.589278 0.403634 -0.441490 0.543063 135
1768380808.790352 3.242915 1.379766 0.948904 -0.591950 0.399282 -0.439493 0.544991 137
1768380808.923782 3.354052 1.440957 0.983907 -0.594375 0.394901 -0.436473 0.547962 139
1768380809.057211 3.461197 1.505729 1.026850 -0.596436 0.391203 -0.433402 0.550806 141
1768380809.190640 3.573998 1.586078 1.064889 -0.599319 0.386922 -0.431713 0.552026 143
1768380809.324069 3.693379 1.663929 1.097742 -0.601849 0.381948 -0.429353 0.554571 145
1768380809.457499 3.824321 1.748652 1.136958 -0.604205 0.377924 -0.424887 0.558195 147
1768380809.590928 3.947241 1.833591 1.179225 -0.606865 0.373211 -0.421815 0.560803 149
1768380809.724356 4.068129 1.923963 1.217771 -0.609987 0.366985 -0.419759 0.563063 151
1768380809.857785 4.190470 2.021084 1.258201 -0.613010 0.361685 -0.416958 0.565287 153
1768380809.991214 4.320394 2.124659 1.294763 -0.615700 0.355612 -0.414869 0.567747 155
1768380810.124642 4.447458 2.228086 1.339109 -0.619048 0.350253 -0.411203 0.570100 157
1768380810.258071 4.572906 2.330486 1.380879 -0.622330 0.344270 -0.407559 0.572783 159
1768380810.391499 4.683321 2.427173 1.410471 -0.625626 0.337776 -0.404515 0.575211 161
1768380810.524927 4.824158 2.559464 1.455723 -0.629195 0.330730 -0.402225 0.577015 163
1768380810.658355 4.962502 2.694649 1.497687 -0.633163 0.323162 -0.399105 0.579125 165
1768380810.791780 5.094445 2.824952 1.540363 -0.636519 0.316426 -0.395605 0.581563 167
1768380810.858493 5.166887 2.894754 1.552638 -0.638561 0.312226 -0.394804 0.582138 168
1768380810.991919 5.284667 3.040770 1.607628 -0.644023 0.304599 -0.391373 0.582478 170
1768380811.125345 5.428047 3.176657 1.643441 -0.647932 0.298190 -0.385033 0.585676 172
1768380811.192058 5.500283 3.251846 1.671214 -0.650339 0.295534 -0.382317 0.586133 173
1768380811.325483 5.625185 3.397927 1.712466 -0.654536 0.288582 -0.377516 0.588035 175
1768380811.392196 5.693742 3.470685 1.734178 -0.656343 0.285459 -0.374473 0.589489 176
1768380811.525621 5.818732 3.608294 1.782883 -0.661161 0.280166 -0.367904 0.590778 178
