#timestamp x y z qx qy qz qw id
1768380412.508932 0.002342 0.013118 -0.000193 -0.495236 0.506081 -0.494504 0.504073 1
1768380412.709078 0.000811 0.015198 -0.000783 -0.495248 0.506044 -0.494734 0.503873 2
1768380412.775792 0.002494 0.013587 -0.001833 -0.495265 0.505994 -0.494612 0.504026 3
1768380412.842506 0.002580 0.014458 0.000136 -0.495250 0.506097 -0.494588 0.503960 4
1768380412.909220 0.002146 0.015495 -0.001097 -0.495169 0.506144 -0.494502 0.504078 5
1768380412.975934 0.001784 0.013377 -0.000520 -0.495249 0.506075 -0.494575 0.503997 6
1768380413.042649 0.001172 0.013753 -0.000798 -0.495318 0.506021 -0.494670 0.503889 7
1768380413.109363 0.000928 0.014681 0.000505 -0.495315 0.506012 -0.494690 0.503882 8
1768380413.176077 0.002038 0.015326 -0.001034 -0.495261 0.506035 -0.494684 0.503918 9
1768380413.242791 0.000146 0.015809 -0.000971 -0.495195 0.506124 -0.494534 0.504041 10
1768380413.309505 0.000550 0.015933 0.000906 -0.495224 0.506163 -0.494509 0.503998 11
1768380413.376220 -0.000252 0.016142 0.001136 -0.495285 0.506100 -0.494637 0.503875 12
1768380413.442934 0.003791 0.013415 0.000281 -0.495293 0.506040 -0.494610 0.503954 13
1768380413.509648 -0.000358 0.013984 -0.001288 -0.495283 0.506052 -0.494683 0.503879 14
1768380413.776504 0.000870 0.013744 -0.000915 -0.495244 0.506041 -0.494611 0.503999 15
1768380413.909930 0.000806 0.015010 -0.001818 -0.495196 0.506074 -0.494619 0.504006 16
1768380414.110069 -0.000594 0.014564 0.000922 -0.495292 0.506083 -0.494643 0.503879 17
1768380414.243495 0.000094 0.013014 0.000435 -0.495297 0.506056 -0.494545 0.503997 18
1768380414.376920 0.000747 0.014063 -0.001881 -0.495265 0.505996 -0.494685 0.503952 19
1768380414.510346 -0.001748 0.015474 -0.001987 -0.495259 0.506024 -0.494694 0.503920 20
1768380414.577059 0.003431 0.012623 -0.000532 -0.495282 0.506035 -0.494561 0.504018 21
1768380414.643772 0.000860 0.013941 -0.002977 -0.495187 0.506023 -0.494638 0.504048 22
1768380414.710485 0.000182 0.014125 -0.001830 -0.495239 0.506035 -0.494597 0.504024 23
1768380414.777198 -0.001489 0.019912 0.001175 -0.495371 0.505992 -0.494931 0.503611 24
1768380414.843912 0.002248 0.012605 -0.001437 -0.495292 0.506004 -0.494647 0.503955 25
1768380414.910625 0.000221 0.015911 0.000395 -0.495274 0.506083 -0.494620 0.503920 26
1768380414.977339 0.000074 0.013643 -0.001304 -0.495190 0.506100 -0.494518 0.504084 27
1768380415.044053 -0.000196 0.013451 -0.000165 -0.495232 0.506065 -0.494586 0.504011 28
1768380415.110766 -0.000512 0.012859 -0.001358 -0.495192 0.506063 -0.494583 0.504057 29
